Start,End,Duration,Max Elevation,Cloud Cover,Turbulence,Day/Night
2023-06-01 05:51:24,2023-06-01 05:56:25,0:05:00.698510,63.44,2.0,3.748998492848293e-12,day
2023-06-01 16:37:40,2023-06-01 16:42:45,0:05:04.761292,72.94,2.0,3.748998492848293e-12,day
2023-06-02 05:38:01,2023-06-02 05:42:40,0:04:39.202066,45.24,2.0,3.748998492848292e-12,day
2023-06-02 07:13:30,2023-06-02 07:15:01,0:01:30.810451,21.24,2.0,3.748998492848292e-12,day
2023-06-02 16:24:17,2023-06-02 16:29:07,0:04:49.596096,52.44,2.0,3.748998492848292e-12,day
2023-06-03 05:24:45,2023-06-03 05:28:44,0:03:58.872492,32.99,2.0,3.748998492848292e-12,day
2023-06-03 06:59:11,2023-06-03 07:02:28,0:03:16.720558,27.43,2.0,3.748998492848292e-12,day
2023-06-03 16:11:03,2023-06-03 16:15:23,0:04:19.777911,38.46,2.0,3.748998492848292e-12,day
2023-06-03 17:46:19,2023-06-03 17:48:41,0:02:22.104882,23.19,2.0,3.748998492848292e-12,day
2023-06-04 05:11:44,2023-06-04 05:14:29,0:02:45.348771,24.59,2.0,3.748998492848292e-12,day
2023-06-04 06:45:16,2023-06-04 06:49:27,0:04:11.050620,36.13,2.0,3.748998492848292e-12,day
2023-06-04 15:57:59,2023-06-04 16:01:30,0:03:30.950657,29.04,2.0,3.748998492848292e-12,day
2023-06-04 17:31:58,2023-06-04 17:35:46,0:03:47.604881,31.0,2.0,3.748998492848292e-12,day
