Start,End,Duration,Max Elevation,Cloud Cover,Turbulence,Day/Night,Ground Station
2023-06-01 05:58:56,2023-06-01 06:00:35,0:01:38.564422,21.5,1.1754347619958185,1.831730462537738e-12,day,Tenerife
2023-06-01 16:31:13,2023-06-01 16:36:06,0:04:53.230274,59.33,1.6803332037807646,1.831730462537738e-12,day,Tenerife
2023-06-02 05:44:23,2023-06-02 05:48:14,0:03:50.859379,32.43,2.0,1.831730462537738e-12,day,Tenerife
2023-06-02 16:18:06,2023-06-02 16:22:17,0:04:11.189505,36.8,2.0,1.831730462537738e-12,day,Tenerife
2023-06-03 05:30:28,2023-06-03 05:35:12,0:04:44.415154,51.46,2.0,1.831730462537738e-12,day,Tenerife
2023-06-03 16:05:26,2023-06-03 16:08:01,0:02:34.874154,24.13,2.0,1.831730462537738e-12,day,Tenerife
2023-06-04 05:16:48,2023-06-04 05:21:51,0:05:03.252469,84.26,1.5843560606060607,1.8317304625377383e-12,day,Tenerife
2023-06-04 17:26:23,2023-06-04 17:28:00,0:01:36.449165,21.41,0.4815277777777778,1.831730462537738e-12,day,Tenerife
2023-06-01 04:21:20,2023-06-01 04:24:48,0:03:28.412549,28.5,1.9398947457108722,2.0011881473491168e-12,day,Nemea
2023-06-01 16:33:34,2023-06-01 16:38:08,0:04:33.821689,43.59,1.978805278064516,2.0011881473491168e-12,day,Nemea
2023-06-02 05:42:18,2023-06-02 05:44:49,0:02:30.909381,23.88,2.0,2.0011881473491168e-12,day,Nemea
2023-06-02 16:19:48,2023-06-02 16:24:49,0:05:01.228983,68.02,2.0,2.001188147349117e-12,day,Nemea
2023-06-03 05:28:05,2023-06-03 05:32:08,0:04:02.914675,34.53,2.0,2.0011881473491168e-12,day,Nemea
2023-06-03 16:06:14,2023-06-03 16:11:19,0:05:04.905970,78.44,2.0,2.001188147349117e-12,day,Nemea
2023-06-04 05:14:13,2023-06-04 05:19:00,0:04:47.075570,52.2,1.8780658420972223,2.0011881473491168e-12,day,Nemea
2023-06-04 15:52:54,2023-06-04 15:57:39,0:04:44.985137,50.5,1.5913467962386365,2.0011881473491168e-12,day,Nemea
2023-06-01 05:51:24,2023-06-01 05:56:25,0:05:00.698510,63.44,2.0,3.748998492848293e-12,day,Trauen
2023-06-01 16:37:40,2023-06-01 16:42:45,0:05:04.761292,72.94,2.0,3.748998492848293e-12,day,Trauen
2023-06-02 05:38:01,2023-06-02 05:42:40,0:04:39.202066,45.24,2.0,3.748998492848292e-12,day,Trauen
2023-06-02 07:13:30,2023-06-02 07:15:01,0:01:30.810451,21.24,2.0,3.748998492848292e-12,day,Trauen
2023-06-02 16:24:17,2023-06-02 16:29:07,0:04:49.596096,52.44,2.0,3.748998492848292e-12,day,Trauen
2023-06-03 05:24:45,2023-06-03 05:28:44,0:03:58.872492,32.99,2.0,3.748998492848292e-12,day,Trauen
2023-06-03 06:59:11,2023-06-03 07:02:28,0:03:16.720558,27.43,2.0,3.748998492848292e-12,day,Trauen
2023-06-03 16:11:03,2023-06-03 16:15:23,0:04:19.777911,38.46,2.0,3.748998492848292e-12,day,Trauen
2023-06-03 17:46:19,2023-06-03 17:48:41,0:02:22.104882,23.19,2.0,3.748998492848292e-12,day,Trauen
2023-06-04 05:11:44,2023-06-04 05:14:29,0:02:45.348771,24.59,2.0,3.748998492848292e-12,day,Trauen
2023-06-04 06:45:16,2023-06-04 06:49:27,0:04:11.050620,36.13,2.0,3.748998492848292e-12,day,Trauen
2023-06-04 15:57:59,2023-06-04 16:01:30,0:03:30.950657,29.04,2.0,3.748998492848292e-12,day,Trauen
2023-06-04 17:31:58,2023-06-04 17:35:46,0:03:47.604881,31.0,2.0,3.748998492848292e-12,day,Trauen
